District ID,District Name,School Year,ELL Status,Total Enrollment ,Students Tested ,Percent Tested ,Percent Absent ,Percent Other ,Below Basic ,Basic ,Proficient ,Goal ,Advanced ,Average Scale Score ,Percent at or Above Goal ,Percent at or Above Proficient 
72,Ledyard School District,2010-11,No,224,207,92.4,1.8,5.8,6.3,2.9,10.6,43,37.2,267.6,80.2,90.8
72,Ledyard School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
73,Lisbon School District,2010-11,No,68,64,94.1,0,5.9,1.6,4.7,4.7,51.6,37.5,269.2,89.1,93.8
74,Litchfield School District,2010-11,No,93,91,97.8,0,2.2,6.6,3.3,6.6,38.5,45.1,273.2,83.5,90.1
74,Litchfield School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
76,Madison School District,2010-11,No,311,302,97.1,1,1.9,2,3.3,3,38.7,53,287.2,91.7,94.7
77,Manchester School District,2010-11,No,454,410,90.3,1.3,8.4,17.6,9,10,39.8,23.7,248.9,63.4,73.4
77,Manchester School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
78,Mansfield School District,2010-11,No,148,145,98,1.4,0.7,8.3,2.8,3.4,33.1,52.4,280.4,85.5,89
78,Mansfield School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
80,Meriden School District,2010-11,No,531,479,90.2,3.2,6.6,19,10.6,15.2,37.6,17.5,241.6,55.1,70.4
80,Meriden School District,2010-11,Yes,63,39,61.9,1.6,36.5,79.5,10.3,5.1,7.7,0,189.4,7.7,12.8
83,Middletown School District,2010-11,No,359,344,95.8,0.3,3.9,12.8,6.1,9.6,48.3,23.3,253.4,71.5,81.1
83,Middletown School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
84,Milford School District,2010-11,No,577,552,95.7,1.2,3.1,3.6,3.1,5.4,47.3,40.6,274.6,87.9,93.3
84,Milford School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
85,Monroe School District,2010-11,No,331,319,96.4,0,3.6,1.6,3.1,3.4,44.8,47,279,91.8,95.3
85,Monroe School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
86,Montville School District,2010-11,No,219,206,94.1,0.9,5,8.7,6.3,7.8,48.1,29.1,257.7,77.2,85
86,Montville School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
88,Naugatuck School District,2010-11,No,384,366,95.3,1.6,3.1,15,8.2,12.3,45.4,19.1,245.6,64.5,76.8
88,Naugatuck School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
280,"New Beginnings Inc., Family Academy District",2010-11,No,23,23,100,0,0,17.4,17.4,21.7,39.1,4.3,227.9,43.5,65.2
89,New Britain School District,2010-11,No,581,535,92.1,1,6.9,36.6,9.2,14.6,32.5,7.1,223,39.6,54.2
89,New Britain School District,2010-11,Yes,137,114,83.2,0.7,16.1,72.8,10.5,10.5,6.1,0,190.5,6.1,16.7
90,New Canaan School District,2010-11,No,293,284,96.9,0,3.1,0.7,1.1,2.1,42.3,53.9,288.6,96.1,98.2
90,New Canaan School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
91,New Fairfield School District,2010-11,No,256,253,98.8,0,1.2,3.2,5.5,7.1,46.6,37.5,269.9,84.2,91.3
91,New Fairfield School District,2010-11,Yes,**,**,**,**,**,**,**,**,**,**,**,**,**
93,New Haven School District,2010-11,No,1274,1137,89.2,0.6,10.1,17.3,11.6,15.2,42.9,12.9,239.7,55.8,71.1
93,New Haven School District,2010-11,Yes,167,112,67.1,1.2,31.7,45.5,20.5,19.6,13.4,0.9,205.8,14.3,33.9
95,New London School District,2010-11,No,159,150,94.3,1.3,4.4,22.7,8.7,18.7,41.3,8.7,233.2,50,68.7
