District ID,District Name,School Year,FRL Status,Total Enrollment ,Students Tested ,Percent Tested ,Percent Absent ,Percent Other ,Below Basic ,Basic ,Proficient ,Goal ,Advanced ,Average Scale Score ,Percent at or Above Goal ,Percent at or Above Proficient 
289,Elm City College Preparatory School,2010-11,Free,24,23,95.8,0,4.2,0,4.3,17.4,34.8,43.5,271,78.3,95.7
289,Elm City College Preparatory School,2010-11,Other,**,**,**,**,**,**,**,**,**,**,**,**,**
289,Elm City College Preparatory School,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
49,Enfield School District,2010-11,Free,96,89,92.7,1,6.3,1.1,7.9,38.2,44.9,7.9,246.9,52.8,91
49,Enfield School District,2010-11,Other,277,271,97.8,0.4,1.8,0.7,4.4,17.3,46.1,31.4,269.8,77.5,94.8
49,Enfield School District,2010-11,Reduced,33,31,93.9,3,3,0,0,25.8,48.4,25.8,262.8,74.2,100
51,Fairfield School District,2010-11,Free,54,48,88.9,0,11.1,0,12.5,20.8,50,16.7,254.7,66.7,87.5
51,Fairfield School District,2010-11,Other,701,682,97.3,0.4,2.3,0.6,1.8,9.2,35,53.4,286.4,88.4,97.7
51,Fairfield School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
52,Farmington School District,2010-11,Free,25,24,96,0,4,0,12.5,29.2,45.8,12.5,249.6,58.3,87.5
52,Farmington School District,2010-11,Other,312,308,98.7,0,1.3,0.6,0,4.2,30.2,64.9,296.9,95.1,99.4
52,Farmington School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
53,Franklin School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
53,Franklin School District,2010-11,Other,**,**,**,**,**,**,**,**,**,**,**,**,**
53,Franklin School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
54,Glastonbury School District,2010-11,Free,42,38,90.5,0,9.5,2.6,5.3,44.7,31.6,15.8,250.2,47.4,92.1
54,Glastonbury School District,2010-11,Other,517,504,97.5,0.4,2.1,1,1,6.7,34.5,56.7,291.6,91.3,98
54,Glastonbury School District,2010-11,Reduced,**,**,**,**,**,**,**,**,**,**,**,**,**
56,Granby School District,2010-11,Free,**,**,**,**,**,**,**,**,**,**,**,**,**
