District ID,District Name,School Year,Special Education Status,Total Enrollment ,Students Tested ,Percent Tested ,Percent Absent ,Percent Other ,Below Basic ,Basic ,Proficient ,Goal ,Advanced ,Average Scale Score ,Percent at or Above Goal ,Percent at or Above Proficient 
91,New Fairfield School District,2010-11,Y,26,25,96.2,0,3.8,36,24,24,12,4,214,16,40
93,New Haven School District,2010-11,N,1255,1221,97.3,0.6,2.1,26.7,16,19.7,32.7,4.9,231.6,37.6,57.3
93,New Haven School District,2010-11,Y,186,159,85.5,3.8,10.8,74.2,10.7,6.3,8.8,0,189.6,8.8,15.1
95,New London School District,2010-11,N,152,151,99.3,0,0.7,35.8,19.9,17.2,26.5,0.7,216.6,27.2,44.4
95,New London School District,2010-11,Y,38,27,71.1,10.5,18.4,59.3,18.5,11.1,11.1,0,192.3,11.1,22.2
96,New Milford School District,2010-11,N,327,325,99.4,0,0.6,1.8,7.4,13.2,62.8,14.8,266.3,77.5,90.8
96,New Milford School District,2010-11,Y,65,59,90.8,1.5,7.7,32.2,22,16.9,25.4,3.4,223.8,28.8,45.8
94,Newington School District,2010-11,N,319,314,98.4,1.3,0.3,5.1,5.7,13.1,61.1,15,264.9,76.1,89.2
94,Newington School District,2010-11,Y,44,37,84.1,2.3,13.6,45.9,13.5,10.8,29.7,0,218.4,29.7,40.5
97,Newtown School District,2010-11,N,430,430,100,0,0,0.5,1.9,4.9,63.3,29.5,285.6,92.8,97.7
97,Newtown School District,2010-11,Y,31,30,96.8,0,3.2,16.7,20,23.3,36.7,3.3,236.2,40,63.3
99,North Branford School District,2010-11,N,197,197,100,0,0,0.5,4.1,13.7,64.5,17.3,270.5,81.7,95.4
99,North Branford School District,2010-11,Y,27,22,81.5,0,18.5,27.3,36.4,9.1,27.3,0,222.6,27.3,36.4
100,North Canaan School District,2010-11,N,26,26,100,0,0,3.8,11.5,15.4,57.7,11.5,259.5,69.2,84.6
100,North Canaan School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
101,North Haven School District,2010-11,N,259,258,99.6,0,0.4,3.9,3.5,12,66.7,14,270,80.6,92.6
101,North Haven School District,2010-11,Y,37,32,86.5,0,13.5,50,28.1,9.4,12.5,0,205.1,12.5,21.9
102,North Stonington School District,2010-11,N,55,55,100,0,0,3.6,5.5,10.9,56.4,23.6,271.8,80,90.9
102,North Stonington School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
103,Norwalk School District,2010-11,N,739,729,98.6,0.8,0.5,13,11,15,49.8,11.2,251.9,61,76
103,Norwalk School District,2010-11,Y,93,79,84.9,2.2,12.9,51.9,21.5,11.4,13.9,1.3,202.6,15.2,26.6
104,Norwich School District,2010-11,N,320,315,98.4,0.3,1.3,15.2,16.8,18.4,42.2,7.3,241.4,49.5,67.9
104,Norwich School District,2010-11,Y,53,46,86.8,0,13.2,63,17.4,10.9,6.5,2.2,200.8,8.7,19.6
263,Odyssey Community School District,2010-11,N,30,30,100,0,0,13.3,16.7,10,46.7,13.3,252.9,60,70
263,Odyssey Community School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
106,Old Saybrook School District,2010-11,N,108,108,100,0,0,5.6,4.6,13,61.1,15.7,267.5,76.9,89.8
106,Old Saybrook School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
108,Oxford School District,2010-11,N,138,137,99.3,0.7,0,2.2,4.4,10.2,56.9,26.3,277.1,83.2,93.4
108,Oxford School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
283,Park City Prep Charter School,2010-11,N,60,60,100,0,0,18.3,15,18.3,45,3.3,239,48.3,66.7
283,Park City Prep Charter School,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
109,Plainfield School District,2010-11,N,168,166,98.8,1.2,0,4.8,7.2,20.5,57.2,10.2,257.4,67.5,88
109,Plainfield School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
110,Plainville School District,2010-11,N,168,168,100,0,0,1.8,3,8.9,60.1,26.2,281.9,86.3,95.2
110,Plainville School District,2010-11,Y,26,25,96.2,0,3.8,40,12,28,16,4,215.9,20,48
111,Plymouth School District,2010-11,N,137,137,100,0,0,5.8,6.6,18.2,59.9,9.5,261.4,69.3,87.6
111,Plymouth School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
112,Pomfret School District,2010-11,N,50,50,100,0,0,6,2,10,74,8,267.2,82,92
112,Pomfret School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
113,Portland School District,2010-11,N,94,93,98.9,0,1.1,2.2,2.2,11.8,65.6,18.3,273.6,83.9,95.7
113,Portland School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
114,Preston School District,2010-11,N,44,44,100,0,0,2.3,2.3,22.7,63.6,9.1,265,72.7,95.5
114,Preston School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
116,Putnam School District,2010-11,N,70,69,98.6,0,1.4,8.7,17.4,14.5,56.5,2.9,249.6,59.4,73.9
116,Putnam School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
117,Redding School District,2010-11,N,128,127,99.2,0.8,0,0,1.6,5.5,63,29.9,287.5,92.9,98.4
117,Redding School District,2010-11,Y,21,21,100,0,0,9.5,14.3,23.8,42.9,9.5,253.3,52.4,76.2
204,Regional School District 04,2010-11,N,165,165,100,0,0,1.8,1.2,9.7,69.7,17.6,276,87.3,97
204,Regional School District 04,2010-11,Y,30,30,100,0,0,23.3,23.3,20,26.7,6.7,231.2,33.3,53.3
205,Regional School District 05,2010-11,N,381,381,100,0,0,1,2.4,5,64.6,27,283,91.6,96.6
205,Regional School District 05,2010-11,Y,49,44,89.8,0,10.2,13.6,9.1,18.2,50,9.1,248.6,59.1,77.3
206,Regional School District 06,2010-11,N,66,66,100,0,0,3,3,6.1,57.6,30.3,277.3,87.9,93.9
206,Regional School District 06,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
207,Regional School District 07,2010-11,N,132,132,100,0,0,0,6.1,8.3,64.4,21.2,276.8,85.6,93.9
207,Regional School District 07,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
208,Regional School District 08,2010-11,N,273,272,99.6,0.4,0,1.5,2.9,11.8,64,19.9,274.5,83.8,95.6
208,Regional School District 08,2010-11,Y,41,38,92.7,0,7.3,28.9,18.4,15.8,34.2,2.6,226.9,36.8,52.6
210,Regional School District 10,2010-11,N,196,195,99.5,0,0.5,0.5,5.1,8.7,67.2,18.5,272.5,85.6,94.4
210,Regional School District 10,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
211,Regional School District 11,2010-11,N,56,56,100,0,0,5.4,7.1,19.6,64.3,3.6,255.8,67.9,87.5
211,Regional School District 11,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
212,Regional School District 12,2010-11,N,70,70,100,0,0,1.4,1.4,11.4,72.9,12.9,270.3,85.7,97.1
212,Regional School District 12,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
213,Regional School District 13,2010-11,N,152,152,100,0,0,0,1.3,8.6,61.2,28.9,283.8,90.1,98.7
213,Regional School District 13,2010-11,Y,24,23,95.8,0,4.2,21.7,21.7,13,43.5,0,231.9,43.5,56.5
214,Regional School District 14,2010-11,N,137,137,100,0,0,1.5,2.9,8,66.4,21.2,274.3,87.6,95.6
214,Regional School District 14,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
215,Regional School District 15,2010-11,N,308,303,98.4,1.3,0.3,1,1.7,5.3,66.3,25.7,281.5,92.1,97.4
215,Regional School District 15,2010-11,Y,43,36,83.7,4.7,11.6,13.9,27.8,19.4,38.9,0,231.7,38.9,58.3
216,Regional School District 16,2010-11,N,180,180,100,0,0,1.1,5.6,10.6,66.7,16.1,269.4,82.8,93.3
216,Regional School District 16,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
217,Regional School District 17,2010-11,N,189,189,100,0,0,1.1,2.6,6.9,58.2,31.2,285.2,89.4,96.3
217,Regional School District 17,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
218,Regional School District 18,2010-11,N,82,82,100,0,0,2.4,0,7.3,51.2,39,287.7,90.2,97.6
218,Regional School District 18,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
118,Ridgefield School District,2010-11,N,404,398,98.5,0.7,0.7,2,2,5.3,60.1,30.7,284.5,90.7,96
118,Ridgefield School District,2010-11,Y,44,39,88.6,4.5,6.8,33.3,23.1,15.4,25.6,2.6,223.8,28.2,43.6
119,Rocky Hill School District,2010-11,N,196,195,99.5,0,0.5,2.1,4.1,10.3,60,23.6,276.9,83.6,93.8
119,Rocky Hill School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
121,Salem School District,2010-11,N,59,59,100,0,0,0,1.7,8.5,76.3,13.6,278.7,89.8,98.3
121,Salem School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
122,Salisbury School District,2010-11,N,28,28,100,0,0,0,0,7.1,60.7,32.1,288,92.9,100
122,Salisbury School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
124,Seymour School District,2010-11,N,176,175,99.4,0,0.6,9.7,11.4,20,53.7,5.1,248.1,58.9,78.9
124,Seymour School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
125,Sharon School District,2010-11,N,**,**,**,**,**,**,**,**,**,**,**,**,**
126,Shelton School District,2010-11,N,396,395,99.7,0.3,0,3.3,8.6,17,61.5,9.6,260.5,71.1,88.1
