District ID,District Name,School Year,Special Education Status,Total Enrollment ,Students Tested ,Percent Tested ,Percent Absent ,Percent Other ,Below Basic ,Basic ,Proficient ,Goal ,Advanced ,Average Scale Score ,Percent at or Above Goal ,Percent at or Above Proficient 
51,Fairfield School District,2010-11,N,675,673,99.7,0,0.3,1.5,2.7,10,35.7,50.2,287,85.9,95.8
51,Fairfield School District,2010-11,Y,81,67,82.7,0,17.3,14.9,14.9,23.9,29.9,16.4,238.2,46.3,70.1
52,Farmington School District,2010-11,N,260,260,100,0,0,0.4,2.3,10.8,29.6,56.9,292.5,86.5,97.3
52,Farmington School District,2010-11,Y,29,25,86.2,0,13.8,8,16,32,36,8,238.6,44,76
53,Franklin School District,2010-11,N,**,**,**,**,**,**,**,**,**,**,**,**,**
53,Franklin School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
54,Glastonbury School District,2010-11,N,482,482,100,0,0,1,3.9,12.4,36.1,46.5,282.1,82.6,95
54,Glastonbury School District,2010-11,Y,45,30,66.7,0,33.3,16.7,3.3,26.7,33.3,20,247.9,53.3,80
56,Granby School District,2010-11,N,151,150,99.3,0,0.7,2,3.3,16.7,38.7,39.3,274.1,78,94.7
56,Granby School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
57,Greenwich School District,2010-11,N,637,632,99.2,0,0.8,1.4,3.2,16.3,39.6,39.6,278.1,79.1,95.4
57,Greenwich School District,2010-11,Y,50,36,72,0,28,19.4,16.7,36.1,19.4,8.3,223.6,27.8,63.9
58,Griswold School District,2010-11,N,121,121,100,0,0,5.8,11.6,34.7,33.1,14.9,244.8,47.9,82.6
58,Griswold School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
59,Groton School District,2010-11,N,301,299,99.3,0,0.7,7.7,7.4,20.7,34.1,30.1,260.7,64.2,84.9
59,Groton School District,2010-11,Y,50,33,66,0,34,18.2,6.1,18.2,39.4,18.2,241.2,57.6,75.8
60,Guilford School District,2010-11,N,265,264,99.6,0,0.4,0,2.3,8.7,34.1,54.9,290.6,89,97.7
60,Guilford School District,2010-11,Y,26,21,80.8,0,19.2,4.8,33.3,28.6,28.6,4.8,225.4,33.3,61.9
62,Hamden School District,2010-11,N,364,360,98.9,0,1.1,7.8,8.3,23.1,32.2,28.6,257.2,60.8,83.9
