District ID,District Name,School Year,Total PreK Students with Disabilities,PreK Students with Disabilities Age 3,PreK Students with Disabilities Age 4,PreK Students with Disabilities Age 5,PreK Students with Disabilities Age 6,PreK Students with Disabilities Age 7,PreK Students with Disabilities Age 8
159,Wethersfield School District,2009-10,39,16,19,4,0,0,0
160,Willington School District,2009-10,9,5,3,1,0,0,0
161,Wilton School District,2009-10,29,16,12,1,0,0,0
162,Winchester School District,2009-10,16,6,9,1,0,0,0
163,Windham School District,2009-10,43,25,16,2,0,0,0
165,Windsor Locks School District,2009-10,16,9,7,0,0,0,0
164,Windsor School District,2009-10,35,11,19,5,0,0,0
166,Wolcott School District,2009-10,15,7,8,0,0,0,0
167,Woodbridge School District,2009-10,6,3,2,1,0,0,0
169,Woodstock School District,2009-10,7,4,1,2,0,0,0
1,Andover School District,2008-09,**,**,**,**,**,**,**
2,Ansonia School District,2008-09,18,7,11,0,0,0,0
3,Ashford School District,2008-09,**,**,**,**,**,**,**
4,Avon School District,2008-09,17,6,10,1,0,0,0
5,Barkhamsted School District,2008-09,**,**,**,**,**,**,**
7,Berlin School District,2008-09,31,18,11,2,0,0,0
8,Bethany School District,2008-09,11,5,5,1,0,0,0
9,Bethel School District,2008-09,25,11,12,2,0,0,0
11,Bloomfield School District,2008-09,14,5,8,1,0,0,0
12,Bolton School District,2008-09,**,**,**,**,**,**,**
13,Bozrah School District,2008-09,7,5,1,1,0,0,0
14,Branford School District,2008-09,41,15,14,12,0,0,0
15,Bridgeport School District,2008-09,184,99,84,1,0,0,0
17,Bristol School District,2008-09,89,46,38,4,1,0,0
18,Brookfield School District,2008-09,21,11,9,1,0,0,0
19,Brooklyn School District,2008-09,10,6,4,0,0,0,0
21,Canaan School District,2008-09,**,**,**,**,**,**,**
22,Canterbury School District,2008-09,9,5,4,0,0,0,0
23,Canton School District,2008-09,14,7,5,2,0,0,0
24,Chaplin School District,2008-09,**,**,**,**,**,**,**
25,Cheshire School District,2008-09,37,17,13,7,0,0,0
26,Chester School District,2008-09,6,2,2,2,0,0,0
27,Clinton School District,2008-09,28,16,11,1,0,0,0
28,Colchester School District,2008-09,44,20,21,3,0,0,0
29,Colebrook School District,2008-09,6,3,3,0,0,0,0
30,Columbia School District,2008-09,**,**,**,**,**,**,**
31,Cornwall School District,2008-09,**,**,**,**,**,**,**
32,Coventry School District,2008-09,16,10,5,0,1,0,0
33,Cromwell School District,2008-09,17,5,8,4,0,0,0
34,Danbury School District,2008-09,90,43,35,9,1,2,0
35,Darien School District,2008-09,29,14,14,1,0,0,0
36,Deep River School District,2008-09,**,**,**,**,**,**,**
37,Derby School District,2008-09,16,8,8,0,0,0,0
40,East Granby School District,2008-09,**,**,**,**,**,**,**
41,East Haddam School District,2008-09,7,5,2,0,0,0,0
42,East Hampton School District,2008-09,10,6,3,1,0,0,0
43,East Hartford School District,2008-09,67,22,43,1,1,0,0
44,East Haven School District,2008-09,36,14,17,4,1,0,0
45,East Lyme School District,2008-09,24,13,9,2,0,0,0
47,East Windsor School District,2008-09,13,7,6,0,0,0,0
39,Eastford School District,2008-09,**,**,**,**,**,**,**
46,Easton School District,2008-09,10,4,5,1,0,0,0
48,Ellington School District,2008-09,22,12,10,0,0,0,0
49,Enfield School District,2008-09,59,23,36,0,0,0,0
50,Essex School District,2008-09,11,3,7,1,0,0,0
51,Fairfield School District,2008-09,96,40,51,5,0,0,0
52,Farmington School District,2008-09,31,13,18,0,0,0,0
53,Franklin School District,2008-09,**,**,**,**,**,**,**
54,Glastonbury School District,2008-09,51,20,30,1,0,0,0
56,Granby School District,2008-09,13,6,7,0,0,0,0
57,Greenwich School District,2008-09,47,21,23,3,0,0,0
58,Griswold School District,2008-09,16,8,8,0,0,0,0
59,Groton School District,2008-09,56,32,23,1,0,0,0
60,Guilford School District,2008-09,19,4,13,2,0,0,0
62,Hamden School District,2008-09,55,32,17,6,0,0,0
63,Hampton School District,2008-09,7,3,4,0,0,0,0
64,Hartford School District,2008-09,152,67,82,3,0,0,0
65,Hartland School District,2008-09,**,**,**,**,**,**,**
67,Hebron School District,2008-09,20,6,14,0,0,0,0
68,Kent School District,2008-09,**,**,**,**,**,**,**
69,Killingly School District,2008-09,41,18,19,4,0,0,0
71,Lebanon School District,2008-09,21,13,7,1,0,0,0
72,Ledyard School District,2008-09,23,7,16,0,0,0,0
73,Lisbon School District,2008-09,7,5,2,0,0,0,0
74,Litchfield School District,2008-09,9,4,4,1,0,0,0
76,Madison School District,2008-09,23,10,9,3,0,1,0
77,Manchester School District,2008-09,73,39,32,2,0,0,0
78,Mansfield School District,2008-09,15,9,5,1,0,0,0
79,Marlborough School District,2008-09,11,6,5,0,0,0,0
80,Meriden School District,2008-09,81,33,46,2,0,0,0
83,Middletown School District,2008-09,35,21,14,0,0,0,0
84,Milford School District,2008-09,39,22,17,0,0,0,0
85,Monroe School District,2008-09,35,16,17,2,0,0,0
86,Montville School District,2008-09,27,16,11,0,0,0,0
88,Naugatuck School District,2008-09,30,16,13,1,0,0,0
89,New Britain School District,2008-09,130,70,58,0,2,0,0
90,New Canaan School District,2008-09,34,11,18,5,0,0,0
91,New Fairfield School District,2008-09,40,18,20,2,0,0,0
92,New Hartford School District,2008-09,11,6,5,0,0,0,0
93,New Haven School District,2008-09,156,90,57,6,2,1,0
95,New London School District,2008-09,40,18,21,1,0,0,0
96,New Milford School District,2008-09,42,19,22,1,0,0,0
94,Newington School District,2008-09,46,18,25,3,0,0,0
97,Newtown School District,2008-09,51,16,30,5,0,0,0
98,Norfolk School District,2008-09,**,**,**,**,**,**,**
99,North Branford School District,2008-09,14,5,9,0,0,0,0
100,North Canaan School District,2008-09,7,1,6,0,0,0,0
