Inst,dist,District Name,School,School Name,Grade,Total,% of Non-White,American Indian,Asian American,Black,White,Hispanic,Pacific Islander,Two or More races,,IndianM,IndianF,AsianM,AsianF,BlackM,BlackF,WhiteM,WhiteF,HispM,HispF,PaciM,PaciF,MultiM,MultiF,TotalM,TotalF,,Eligible for Free or Reduced Price Lunch,Special Education,English Language Learner
11,11,Bloomfield School District,6,Laurel Elementary School,1,125,119,0,0,97,6,9,0,13,,0,0,0,0,53,44,*,*,6,*,0,0,10,*,71,54,,72,9,*
11,11,Bloomfield School District,6,Laurel Elementary School,2,123,119,0,*,95,*,13,*,8,,0,0,*,*,53,42,*,*,9,*,0,*,6,*,72,51,,66,7,*
11,11,Bloomfield School District,7,Carmen Arace Intermediate School,5,122,119,0,*,95,*,18,0,*,,0,0,*,0,49,46,0,*,6,12,0,0,*,*,58,64,,68,12,*
11,11,Bloomfield School District,7,Carmen Arace Intermediate School,6,98,98,0,0,73,0,19,0,6,,0,0,0,0,39,34,0,0,12,7,0,0,*,*,55,43,,58,13,*
11,11,Bloomfield School District,8,Wintonbury Early Childhood Magnet S,-3,220,102,*,11,55,118,18,0,17,,0,*,*,7,29,26,59,59,8,10,0,0,7,10,107,113,,30,25,0
11,11,Bloomfield School District,8,Wintonbury Early Childhood Magnet S,0,102,59,*,*,42,43,6,0,*,,0,*,*,*,20,22,24,19,*,*,0,0,*,*,53,49,,26,14,0
11,11,Bloomfield School District,52,Carmen Arace Middle School,7,113,113,0,*,85,0,22,0,*,,0,0,*,0,44,41,0,0,12,10,0,0,*,*,60,53,,73,13,*
11,11,Bloomfield School District,52,Carmen Arace Middle School,8,148,145,0,0,132,*,8,0,*,,0,0,0,0,65,67,*,*,*,*,0,0,*,*,73,75,,83,21,*
11,11,Bloomfield School District,61,Bloomfield High School,9,114,109,0,*,89,*,13,0,6,,0,0,*,0,53,36,*,*,*,9,0,0,*,*,62,52,,71,9,*
11,11,Bloomfield School District,61,Bloomfield High School,10,149,143,*,0,128,6,13,0,*,,0,*,0,0,57,71,*,*,6,7,0,0,*,0,69,80,,76,18,*
11,11,Bloomfield School District,61,Bloomfield High School,11,149,147,0,*,136,*,9,0,*,,0,0,*,0,71,65,*,0,*,*,0,0,0,*,78,71,,90,17,*
11,11,Bloomfield School District,61,Bloomfield High School,12,129,126,0,*,111,*,12,0,*,,0,0,0,*,57,54,*,0,7,*,0,0,*,*,68,61,,60,20,0
11,11,Bloomfield School District,63,Global Experience Magnet School,6,30,19,0,0,14,11,*,0,*,,0,0,0,0,8,6,*,9,*,*,0,0,*,*,12,18,,10,*,0
11,11,Bloomfield School District,63,Global Experience Magnet School,7,30,18,0,0,15,12,*,0,*,,0,0,0,0,9,6,*,8,0,*,0,0,*,0,15,15,,9,*,0
11,11,Bloomfield School District,63,Global Experience Magnet School,9,31,21,0,*,16,10,*,0,0,,0,0,*,0,6,10,*,*,*,*,0,0,0,0,14,17,,7,*,0
11,11,Bloomfield School District,63,Global Experience Magnet School,10,29,26,0,0,23,*,*,0,*,,0,0,0,0,8,15,*,*,*,*,0,0,0,*,11,18,,13,*,0
11,11,Bloomfield School District,63,Global Experience Magnet School,11,31,27,0,0,24,*,*,0,0,,0,0,0,0,10,14,*,*,*,*,0,0,0,0,15,16,,12,*,0
11,11,Bloomfield School District,63,Global Experience Magnet School,12,31,26,0,0,22,*,*,0,*,,0,0,0,0,9,13,*,*,0,*,0,0,*,0,12,19,,12,*,0
11,11,Bloomfield School District,64,Learning Academy at Bloomfield,9,*,*,0,0,*,0,0,0,0,,0,0,0,0,*,*,0,0,0,0,0,0,0,0,*,*,,0,0,*
11,11,Bloomfield School District,64,Learning Academy at Bloomfield,10,*,*,0,0,*,0,0,0,0,,0,0,0,0,*,*,0,0,0,0,0,0,0,0,*,*,,0,*,0
11,11,Bloomfield School District,64,Learning Academy at Bloomfield,11,*,*,0,0,*,0,0,0,0,,0,0,0,0,0,*,0,0,0,0,0,0,0,0,0,*,,0,0,0
11,11,Bloomfield School District,64,Learning Academy at Bloomfield,12,*,*,0,0,*,0,0,0,0,,0,0,0,0,*,0,0,0,0,0,0,0,0,0,*,0,,0,*,0
11,12,Bolton School District,1,Bolton Center School,-3,19,*,0,*,0,18,0,0,0,,0,0,*,0,0,0,9,9,0,0,0,0,0,0,10,9,,0,8,0
11,12,Bolton School District,1,Bolton Center School,-2,47,7,0,*,*,40,*,0,*,,0,0,*,*,*,*,22,18,*,0,0,0,0,*,25,22,,*,*,*
11,12,Bolton School District,1,Bolton Center School,1,50,10,0,0,*,40,*,0,*,,0,0,0,0,*,*,18,22,0,*,0,0,*,*,22,28,,6,*,0
11,12,Bolton School District,1,Bolton Center School,2,66,7,0,0,*,59,*,0,*,,0,0,0,0,*,*,25,34,0,*,0,0,*,*,28,38,,8,6,*
11,12,Bolton School District,1,Bolton Center School,3,63,12,0,*,*,51,*,0,*,,0,0,*,0,0,*,26,25,*,*,0,0,0,*,30,33,,7,7,*
11,12,Bolton School District,1,Bolton Center School,4,58,10,0,0,*,48,*,0,*,,0,0,0,0,*,*,31,17,*,*,0,0,*,*,36,22,,11,8,*
11,12,Bolton School District,1,Bolton Center School,5,54,8,0,*,*,46,*,0,*,,0,0,*,0,*,*,25,21,*,*,0,0,0,*,29,25,,10,6,*
11,12,Bolton School District,1,Bolton Center School,6,55,7,0,*,*,48,*,0,0,,0,0,*,0,*,*,26,22,0,*,0,0,0,0,28,27,,7,*,0
11,12,Bolton School District,1,Bolton Center School,7,62,*,0,0,*,57,*,0,*,,0,0,0,0,*,0,26,31,0,*,0,0,*,*,29,33,,7,7,0
11,12,Bolton School District,1,Bolton Center School,8,59,*,0,0,*,56,*,0,0,,0,0,0,0,*,0,26,30,*,0,0,0,0,0,29,30,,*,*,0
11,12,Bolton School District,61,Bolton High School,9,89,6,0,*,*,83,*,0,*,,0,0,0,*,0,*,39,44,*,0,0,0,*,*,42,47,,13,6,*
11,12,Bolton School District,61,Bolton High School,10,82,15,0,*,*,67,*,0,*,,0,0,*,*,*,*,44,23,*,*,0,0,*,*,50,32,,14,10,0
11,12,Bolton School District,61,Bolton High School,11,104,13,0,*,*,91,*,0,6,,0,0,*,0,*,0,43,48,*,*,0,0,*,*,49,55,,10,6,0
11,12,Bolton School District,61,Bolton High School,12,84,*,0,*,0,79,*,0,*,,0,0,*,0,0,0,37,42,*,0,0,0,0,*,41,43,,11,14,0
11,13,Bozrah School District,1,Fields Memorial School,-3,21,*,0,0,*,18,*,0,0,,0,0,0,0,*,0,10,8,*,*,0,0,0,0,12,9,,7,*,0
11,13,Bozrah School District,1,Fields Memorial School,0,25,*,0,0,*,21,*,0,0,,0,0,0,0,*,0,13,8,*,*,0,0,0,0,15,10,,7,*,*
11,13,Bozrah School District,1,Fields Memorial School,1,19,*,0,0,*,17,*,0,0,,0,0,0,0,0,*,*,12,*,0,0,0,0,0,6,13,,6,*,*
