,,,Grade Range,,,Student's Race-Ethnicity,,,,,,,Students with Disabilities,ELL ,Meal Eligibility Status,,
,,,"Elementary Level 
(Grade K-3)",Middle Grades (Grades 4-8),"Secondary School
 (Grades 9-12)",American Indian or Alaska Native,Asian,Black or African American,"Hispanic
Latino of any race",Native Hawaiian or Other Pacific Islander,Two or More Races,White,,,Free Meals,Reduced Meals,Not Eligible
District Code,District Name,Total % of Students chronically absent in District,% Chronically Absent Chronic,% Chronically Absent Chronic,% Chronically Absent Chronic,% Chronically Absent Chronic,% Chronically Absent Chronic,% Chronically Absent Chronic,% Chronically Absent Chronic,% Chronically Absent Chronic,% Chronically Absent Chronic,% Chronically Absent Chronic,% Chronically Absent Chronic,% Chronically Absent Chronic,% Chronically Absent Chronic,% Chronically Absent Chronic,% Chronically Absent Chronic
243,Cooperative Educational Services,15.8,8.3,15.7,28.2, - ,*,11.3,16.0, - ,*,17.9,26.4, - ,25.5,*,13.3
244,Area Cooperative Educational Services,21.7,17.0,17.5,47.8,*,*,21.8,26.9,*,*,17.1,36.2,*,31.1,13.3,12.3
245,Learn,16.2,12.0,7.2,23.4,*,*,24.5,22.0,*,10.4,11.4,18.7,*,21.2,*,13.0
253,Eastern Connecticut Regional Educational Services,#N/A,*,*,16.2,*,*,*,*, - ,*,14.9,*,*,17.8,*,12.0
261,Jumoke Academy District,6.0,*,5.7,*, - , - ,6.0,*, - ,*, - ,*, - ,6.4,*,*
263,Odyssey Community School District,11.7,14.2,*, - , - ,*,*,*, - ,*,14.1,*, - ,*,*,10.1
264,Integrated Day Charter School District,*,*,*, - ,*,*,*,*, - ,*,*,*,*,*,*,*
265,Interdistrict School for Arts and Comm District,11.2, - ,11.2, - ,*,*,*,*, - ,*,*,*,*,15.9,*,*
268,Common Ground High School District,16.6, - , - ,16.6, - ,*,*,*, - ,*,*,*,*,*,*,*
269,The Bridge Academy District,8.4, - ,*,*,*,*,*,*,*,*,*,*,*,*,*,*
270,Side By Side Charter School District,*,*,*, - , - ,*,*,*,*,*,*,*,*,*,*,*
272,Explorations District,29.1, - , - ,29.1,*,*,*,*, - ,*,29.2,*, - ,*, - ,*
278,Trailblazers Academy District,*, - ,*, - , - ,*,*,*, - ,*,*,*, - ,*,*,*
279,Amistad Academy District,3.5,*,*,*,*, - ,*,*, - ,*,*,*,*,4.8,*,*
280,New Beginnings Inc. Family Academy District,9.8,*,10.9, - , - , - ,10.2,*,*,*,*,*,*,11.6,*,*
282,Stamford Academy District,*, - , - ,*, - , - ,*,*, - , - ,*,*, - ,*,*,*
283,Park City Prep Charter School District,*, - ,*, - , - ,*,*,*, - ,*,*,*,*,*,*,*
285,Bridgeport Achievement First District,2.9,*,*,*,*,*,*,*, - ,*,*,*,*,4.2,*,*
286,Highville Charter School District,*,*,*,*, - ,*,*,*, - ,*,*,*, - ,*,*,*
288,Achievement First Hartford Academy Inc. District,6.1,*,8.8,*,*,*,5.9,*,*,*, - ,*,*,6.1, - , - 
289,Elm City College Preparatory School District,4.6,*,*,*,*,*,4.6,*, - ,*,*,*,*,6.0,*,*
290,Brass City Charter School District,*,*, - , - , - , - ,*,*, - ,*,*,*, - ,*,*,*
336,Unified School District #1,22.0, - ,*,23.0,*,*,24.4,20.1, - ,*,*,17.2, - ,22.0, - , - 
337,Department of Mental Health and Addiction Services,*, - , - ,*, - , - ,*,*, - , - ,*,*, - ,*, - , - 
347,Unified School District #2,*, - ,*,*,*,*,*,*,*,*,*,*,*,*, - , - 
900,Connecticut Technical High School System,12.9, - , - ,12.9,*,*,13.5,14.3,*,12.4,12.0,13.1,13.1,18.3,9.6,8.8
901,Norwich Free Academy District,31.0, - , - ,31.0,*,20.8,25.3,38.5,*,*,32.1,32.5,19.9,32.2,22.9,31.2
902,The Gilbert School District,15.8, - ,*,18.5,*,*,*,*, - ,*,16.8,26.0,*,23.7,*,11.0
903,Woodstock Academy District,6.4, - , - ,6.4,*,*,*,*, - ,*,5.7,*,*,*,*,6.3
,STATEWIDE TOTALS,10.7,8.6,8.4,15.4,12.2,6.4,15.7,18.1,10.6,10.9,7.2,18.5,18.0,19.9,9.1,6.1
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Chronic Absentee defined as any student with a calculated Average Daily Attendance (ADA) of less than or equal to 90%,,,,,,,,,,,,,,,,,
All data taken from June 2014 PSIS collection,,,,,,,,,,,,,,,,,
